UID,Name,Score,usecMemTest,usecOpcodes,usecVidMem,usecMemEA,usec3DGames,CPU,MHz,BIOS Info,BIOS Date,BIOS CRC16,Video Subsystem,Video Adapter,Description,Submitter
UID2709A18EA,"IBM PS/2 Model 80",22,537,174,1245,191,173,Intel 80386DX,16,"COPR. IBM 1981, 1987 (03/30/87, rev. 0)",19870330,2709,VGA,"VGA, unknown Chipset, 256kb Video Memory (BIOS)","8580-071 BR55-7568723 /8514A/ELNK3/TC5046/MemExp6MB/Dual16550Serial","Michael Huth"
UID89C9A21,"AT clone (Bullet)",22,517,212,1133,243,211,Intel 80286,13," ",19870916,89C9,VGA,"ATI 28800-5VGAWonderBios : 0.1, 256kb Video Memory (BIOS)","BULLET 286 motherboard with only 8 bit isa slots","Cimonvg (VCF)"
UID22DD479C3,"Compaq Deskpro 286",22,623,268,800,346,264,Intel 80286,12,"(C)Copyright COMPAQ Computer Corporation 1982,83,84,85 (01/28/88, rev. 0)",19880128,22DD,CGA,"CGA"," ","Tiberian Fiend"
UIDEE0A1452EF,"Commodore PC40-III @ 12 MHz HGC",22,614,263,792,346,260,Intel 80286,12,"80286 BIOS, COPYRIGHT (C) 1988 Commodore Business Machines (08/25/88, rev. 0)",19880825,EE0A,MDA,"Hercules Graphics Card"," ","kolrabi"
UIDEE0A147A4B,"Commodore PC40-III @ 12 MHz VGA",22,615,264,737,345,260,Intel 80286,12,"80286 BIOS, COPYRIGHT (C) 1988 Commodore Business Machines (08/25/88, rev. 0)",19880825,EE0A,VGA,"VGA, Paradise PVGA1A, 8-Bit-Video, 8-Bit-ROMfixed-sync, 256kb Vi"," ","kolrabi"
UID282B14E6,"Commodore C286-LT",22,507,269,840,351,253,Intel 80286,12,"Copyright (C) 1985-1990 Phoenix Technologies Ltd. (01/15/88, rev. 0)",19880115,282B,VGA,"VGA, Cirrus 510/520, 256kb Video Memory (BIOS)"," ","Carlsson (VCF)"
UIDC60716D4DF,"Amiga 80286 Bridgeboard (MakeIt 486)",23,559,295,734,404,275,Cyrix/TI 486-class processor,33,"A2286 BIOS, COPYRIGHT (C) 1988 Commodore Business Machines Version 3.6 (09/xx/88, rev. 0)",19880900,C607,CGA,"CGA","80286 Bridgeboard with MakeIt 486 @ 33MHz, cache on","hexsane (VCF)"
UIDF692664,"IBM PC/XT (Inboard 386)",23,579,191,1045,218,186,AMD Am386DX,16,"Copyright (c) 1984,1985,1986 Phoenix Technologies Ltd (09/24/87, rev. 0)",19870924,F692,VGA,"VGA, ATI 28800-5VGAWonderBios : 0.1, 256kb Video Memory (BIOS)","XT motherboard with Inboard 386/pc (original 386 cpu 16 Mhz). CPU reads : I a80386-16 s40344 l8210358 '85 '86 zz","Cimonvg (VCF)"
UIDF95D1BCE4,"KLH195",23,639,337,455,424,291,Intel 80286,12,"Copyright (C) 1985-1988 Phoenix Technologies Ltd. (01/15/88, rev. 0)",19880115,F95D,VGA,"VGA, Paradise PVGA1A, 16-Bit-Video, 16-Bit-ROMfixed-sync, 256kb","KLH Desktop","fatwizard (VCF) fatwizard@whappitysnap.com"
UIDDDD3BDAA0,"IBM PS/2 Model P70 (8573-121)",25,377,139,1240,163,142,Intel 386 DX,20,"COPR. IBM 1981, 1989 (01/18/89, rev. 0)",19890118,DDD3,VGA,"VGA, 256kb Video Memory (BIOS)","IBM PS/2 P70, no FPU","Compgeke"
UIDC8151726DE,"AT&T 6286 WGS",25,641,270,447,357,269,Intel 80286,12.5,"COPYRIGHT (C) OLIVETTI 02/25/89 (02/25/89, rev. 25)",19890225,C815,VGA,"Paradise PVGA1A, 16-Bit-Video, 16-Bit-ROMfixed-sync, 256kb"," ","trixter@oldskool.org"
UIDC815167DA0,"AT&T 6286 WGS",25,641,269,449,356,265,Intel 80286,12,"COPYRIGHT (C) OLIVETTI 02/25/89 (02/25/89, rev. 25)",19890225,C815,VGA,"VGA, Paradise PVGA1A, 16-Bit-Video, 16-Bit-ROMfixed-sync, 256kb","VDC600 VGA card","trixter@oldskool.org"
UID383312B7C1,"IBM PS/2 Model 80",26,370,135,1213,157,136,Intel 80386DX,20,"COPR. IBM 1981, 1987 (10/07/87, rev. 0)",19871007,3833,VGA,"VGA, unknown Chipset, 256kb Video Memory (BIOS)"," ","nestor (VCF)"
UIDF6DF26AA,"Tandy 1000 SL (FrankenTandy)",26,600,310,414,384,300,NEC V30HL,16.6,"Tandy BIOS 1.04",19880622,7D94,CGA,"Tandy 1000 SL/TL","Tandy 1000 SL modded with a 50MHz OSCI","CarlosTex [@Vogons] [@VCFed];This file contains fingerprinting information about various computers for"
UID3DB016F8E4,"AT&T 6312 WGS",27,614,264,374,343,260,Intel 80286,12,"COPYRIGHT (C) OLIVETTI 09/23/87 (09/23/87, rev. 1)",19870923,3DB0,VGA,"Paradise PVGA1A, 16-Bit-Video, 16-Bit-ROMfixed-sync, 256kb","The video adapter in this machine also emulates the AT&T 400-line CGA mode","trixter@oldskool.org"
UID2B8351C3,"Magnavox HeadStart 500",30,470,184,652,237,174,Intel 80386SX,16,"Phillips",19900926,02B8,VGA,"VGAChips&Technologies 82c451Rev : 5, 6-Bit DAC, 256kb Video Memo","USA-branded version of a Phillips 386sx-16 system.","trixter@oldskool.org"
UIDDDD3162924,"PS/2 Model P70 (8573-121), Typ 2",30,220,102,1133,132,79,Cyrix Cx486DRx2,40,"COPR. IBM 1981, 1989 (01/18/89, rev. 0)",19890118,DDD3,VGA,"VGA, unknown Chipset, 256kb Video Memory (BIOS)","IBM P70 (PS/2) with Cyrix 486 upgrade","DeathAdderSF"
UIDE0D2D8679,"IBM PS/2 model 30-286 (486SLC2)",32,282,253,1337,377,212,486SLC2,50,"COPR. IBM 1981, 1988 (08/25/88, rev. 0)",19880825,E0D2,VGA," ","Upgraded with a 486SLC2 running at 50 MHz","nestor (VCF)"
UIDC63F10E08A,"NEC PowerMate SX/16",32,425,172,320,216,175,AMD Am386SX,16,"Copyright (C) 1985-1990 Phoenix Technologies Ltd. (01/15/88, rev. 0)",19880115,C63F,VGA,"VGA, Paradise PVGA1A, 16-Bit-Video, 8-Bit-ROMMulti-Sync, 256kb V"," "," "
UID6BD411F475,"Samsung SD610",33,392,197,516,241,176,Intel 80286,16,"Copyright (C) 1985-1988 Phoenix Technologies Ltd. (01/15/88, rev. 0)",19880115,6BD4,VGA,"VGA, Tseng ET 3000, DRAM, unknown Chipset, 256kb Video Memory (B"," ","Omar Matias Bomrad"
UIDE4AFC7E7C,"IBM PS/1 Model 2121",33,519,199,319,259,193,Intel 80386SX,16,"COPR. IBM 1981, 1991 (06/25/91, rev. 0)",19910625,E4AF,VGA,"VGA, unknown Chipset, 256kb Video Memory (BIOS)"," ","nestor (VCF)"
UID4D27135BF0,"Zenith Z-386 (Cyrix 486SLC)",35,519,360,395,501,326,Cyrix/TI 486-class processor,16," ",20000101,4D27,VGA,"VGA, unknown Cirrus CL-GD54, VESA, 256kb Video Memory (BIOS)","Zenith Z-386 SX 16 upgraded with a Cyrix 486SLC.  The Cyrix 486SLC in the Zenith machine is actually running at 16mhz since the Zenith reacted poorly to having it's oscillator changed.","dpatten (VCF)"
UID71FE1399CE,"Dell 316SX",35,478,214,391,246,186,Intel 80386SX,16,"Copyright (C) 1985-1988 Phoenix Technologies Ltd. (01/15/88, rev. 0)",19880115,71FE,VGA,"Paradise PVGA1A, 16-Bit-Video, 16-Bit-ROMfixed-sync, 256kb"," ","trixter@oldskool.org"
UID745019165,"IBM PC/XT (Inboard 386 + Cyrix 486BL)",36,157,154,1180,163,92,Cyrix 5x86-S (clock x3 mode),50,"unknown",20120502,7450,VGA,"VGA, unknown Chipset, 256kb Video Memory (BIOS)","Cache enabled"," "
UID9C41130701,"286-16 clone",36,393,204,317,266,195,Intel 80286,16,"(C)1985-1990, American Megatrends Inc.,All Rights Reserved.1346 Oakbrook Drive, Suite-120, Norcross, GA-30093. Phone-(404)-263-8181. (06/13/90, rev. 0)",19900613,9C41,VGA,"VGA, Trident TR8900CL or D, VESA, 768kb Video Memory","Acer M1207 chipset","nestor (VCF)"
UID1F68544,"IBM PC/XT (inboard + rev to 486)",38,124,115,1211,158,97, ,,"Copyright (c) 1984,1985,1986 Phoenix Technologies Ltd (09/24/87, rev. 0)",19870924,1F68,VGA,"TIGA","xt motherboard + inboard + rev to 486, all caches on","Cimonvg (VCF)"
UID38A92A4,"IBM PS/2 Model L40",39,376,149,365,204,146,AMD Am386SX,20,"COPR. IBM 1981, 1991 (02/27/91, rev. 2)",19910227,38A9,VGA,"Paradise PVGA1A, 16-Bit-Video, 16-Bit-ROMfixed-sync, 256kb"," ","mbbrutman"
UIDA68E6B4D,"386sx-33 clone",40,227,164,734,182,124,AMD Am386SX,33,"(C)1985-1991,American Megatrends Inc.,All Rights Reserved.,1346 Oakbrook Dr.,#120,GA-30093,USA.(404)-263-8181. (12/12/91, rev. 0)",19911212,0A68,VGA,"VGA, 256kb Video Memory (BIOS)"," ","Caluser2000 from VCF"
UID4F258C,"IBM PS/2 Model 35SX",40,434,158,282,209,156,Intel 80386SX,20,"COPR. IBM 1981, 1991 (09/25/91, rev. 10)",19910925,04F2,VGA,"VGA, unknown Chipset, 256kb Video Memory (BIOS)","IBM 8535-043","Cimonvg (VCF)"
UID21571644A3,"Philips/Comenius 386",41,372,177,280,227,162,Intel 80386SX,20," ",19920504,2157,VGA,"VGACirrus AVGA2 (5402), VESA, 256kb Video Memory (BIOS)","In the BIOS it has an option to run the CPU/BUS/DMA at 7/4/4, 20/8/4 and 20/8/8 MHz.  This fingerprint was taken at 20/8/8.","Frenkel"
UIDBA8810A1D4,"Biostar AT clone",42,393,152,290,183,162,Intel 80286,16,"(C)1985-1990, American Megatrends Inc.,All Rights Reserved.1346 Oakbrook Drive, Suite-120, Norcross, GA-30093. Phone-(404)-263-8181. (06/13/90, rev. 0)",19900613,BA88,VGA,"VGA, ATI 28800-5VGAWonderBios : 0.16, 256kb Video Memory (BIOS)","Mobo: Biostar MB-1216H; CPU: Siemens 80286 16 MHz + Intel 80287 10 MHz; RAM: 4 MiB (zero wait state); Graphics: Ati VGA Stereo F/X with 1 MiB RAM","aitotat (VCF)"
UIDB032B87CA,"Compaq Deskpro 386/25",45,317,139,626,170,126,Intel 80386DX,25,"\AUTHORS CAB93GLB93DJC93NPB(C)Copyright COMPAQ Computer Corporation 1982,83,84,85,86,87,88 (11/16/88, rev. 0)",19881116,B032,VGA,"VGAChips&Technologies 82c451Rev : 5, 6-Bit DAC, 256kb Video Memo","Compaq Deskpro 386/25","resman"
UIDF144BDF4B,"Micro Byte PC/AT clone",45,378,154,289,169,136,Intel 80386SX,20,"System BIOS Copyright 1989, 1991 Micro Byte Systems. (04/18/91, rev. 0)",19910418,F144,VGA,"VGA, Trident TR8900, 768kb Video Memory (BIOS reports 1024kb)","An Australian made computer with everything onboard. No FPU.","Sparcie"
UIDE1EA6239E,"Dell 310A",46,353,176,422,155,136,AMD Am386DX,20,"Copyright (C) 1985-1988 Phoenix Technologies Ltd. (02/12/92, rev. 0)",19920212,E1EA,VGA,"VGA, Paradise PVGA1A, 16-Bit-Video, 16-Bit-ROMfixed-sync, 256kb"," ","Dos lives on!! from VCF"
UIDEC3C126A,"Amstrad MegaPC 386",46,304,108,366,140,113,Intel 80386SX,25," ",19920701,EC3C,VGA,"VGA, Paradise PVGA1A, 16-Bit-Video, 16-Bit-ROMfixed-sync, VESA,","Amstrad MegaPC: 80386SX desktop with built-in Sega Megadrive/Genesis compatibility. It is upgraded from 1 to 16 MB RAM, has a Type 17 IDE HDD and 3rd party 16-bit ISA NIC. It runs MS-DOS something.","Carlsson (VCF)"
UIDB121B8B,"Dell 325SX",47,298,138,383,161,120,Intel 80386SX,25,"Copyright (C) 1985-1988 Phoenix Technologies Ltd. (02/07/92, rev. 0)",19920207,B121,VGA,"VGA, Paradise PVGA1A, 16-Bit-Video, 8-Bit-ROMfixed-sync, VESA, 2"," ","Omar Matias Bomrad"
UID490117F9FD,"Tandy 2500 SX/25",47,293,139,321,183,131,Intel 80386SX,25,"Copyright (C) 1985-1990 Phoenix Technologies Ltd. (12/26/91, rev. 0)",19911226,4901,VGA,"Paradise PVGA1A, 16-Bit-Video, 16-Bit-ROMfixed-sync, 512kb"," ","trixter@oldskool.org"
UID6953993EB,"Hewlett-Packard OmniBook 430",49,250,109,448,155,91,Cyrix 486SLC/e,25.51302,"Copyright (c) 1985,1986,1987 Phoenix Technologies Ltd (07/31/93, rev. 0)",19930731,6953,VGA,"VGA, Chips&Technologies F65510, DRAM, 256kb Video Memory (BIOS)","OmniBook 430 running OmniBook 425 1.1S ABB firmware.","Eric Rucker <bhtooefr@bhtooefr.org>"
UID3BA912D92F,"Micronics 386-20",49,393,134,216,140,134,AMD Am386DX,20,"Copyright (C) 1992 Micro Firmware Incorporated (04/19/90, rev. 0)",19900419,3BA9,VGA,"VGA, S3 86c801/5 C, VESA, 1024kb Video Memory, 1024kb Video Memo"," ","ChuckG (VCF)"
UIDAFD614BF49,"Tandy 1000 TX (PK-X486/87SL5-1)",50,298,274,660,406,246, ,,"unknown",19870515,AFD6,VGA,"VGA, ATI VGAWonderBios : 1.4, 256kb Video Memory (BIOS)","Tandy 1000 TX with PK-X486/87SL5-1 upgrade","DeathAdderSF"
UID9E5DE121E,"M326 @ 16",50,390,208,230,170,182,Intel 80386DX,16,"R(C)1985-1993,American Megatrends Inc.,All Rights Reserved,6145F Northbelt Parkway,GA-30071,USA.(404)-263-8181. (08/08/93, rev. 0)",19930808,9E5D,VGA,"VGA, Tseng ET 4000W32i, DRAM, VESA, 256kb Video Memory (BIOS)","M326 motherboard rev 5.2 clocked @ 16","Omar Matias Bomrad"
UIDAAEB38914,"M216",50,316,165,171,204,134,Intel 80286,20,"R(C)1985-1990,American Megatrends Inc.,All Rights Reserved.,1346 Oakbrook Dr.,#120,GA-30093,USA.(404)-263-8181. (04/30/91, rev. 0)",19910430,AAEB,VGA,"VGA, Tseng ET 4000W32i, DRAM, VESA, 256kb Video Memory (BIOS)","An M216 motherboard rev 1.2","Omar Matias Bomrad"
UID817FF4DC3,"Cyrix 486 clone",51,196,67,672,54,41,Cyrix/TI 486-class processor,33,"(C)1985-1992,American Megatrends Inc.,All Rights Reserved,6145F Northbelt Parkway,GA-30071,USA.(404)-263-8181. (06/06/92, rev. 0)",19920606,817F,VGA,"VGA, Trident TR8900CL or D, VESA, 768kb Video Memory, 1024kb Vid"," ","Maverick1978 (VCF)"
UID46F5D3B0A,"TEX's Socket 7 DOS machine [all caches off]",53,339,119,227,124,111,AMD K6-III+ (0.18u),100,"war,Copyright (C) 1984-98, Award Software, Inc. (05/14/98, rev. 0)",19980514,46F5,VGA,"VGA, S3 86c868/86c968 PCI, VESA, 256kb Video Memory (BIOS)","www.vogons.org/viewtopic.php?f=25&t=41586","carlostex [vogons.org]"
UIDC4E211C146,"Dell 325P (Cyrix 486)",57,264,117,326,101,76,Cyrix 486 DLC-40,25,"Copyright (C) 1985-1988 Phoenix Technologies Ltd. (05/02/91, rev. 0)",19910502,C4E2,VGA,"VGA, Video 7, VGA Version 5, HT208 rev CDVRAM, 1024kb Vidram","386 replaced with a Cyrix 486 DLC-40 which is capable of 40MHz, but is running at 25MHz in this system.","Todd"
UID9E5DDCF40,"M326 @ 20",60,326,173,200,141,151,Intel 80386DX,20,"R(C)1985-1993,American Megatrends Inc.,All Rights Reserved,6145F Northbelt Parkway,GA-30071,USA.(404)-263-8181. (08/08/93, rev. 0)",19930808,9E5D,VGA,"VGA, Tseng ET 4000W32i, DRAM, VESA, 256kb Video Memory (BIOS)","M326 motherboard rev 5.2 clocked @ 20","Omar Matias Bomrad"
UID513917FB2D,"386sx-33 clone",61,241,118,195,152,109,AMD 80386SX,33,"R(C)1985-1991,American Megatrends Inc.,All Rights Reserved.,1346 Oakbrook Dr386SX BIOS 1989 AMI",19910707,5139,VGA,"VGA, S3 ORCHID FARENHEIT 1280 PLUS 1024kb Bios ver. 1.5","AM386SX/SXL  VLSI Chipset i387 Math Co.  Current build-from-parts project.  Had to call it something.","fatwizard (VCF) fatwizard@whappitysnap.com"
UIDEC3C3AD1,"AT clone",62,167,104,243,149,98,Cyrix Cx486SRx2,50,"unknown",19920701,EC3C,VGA,"VGA, Paradise PVGA1A, 16-Bit-Video, 16-Bit-ROMfixed-sync, VESA,","Amstrad Mega PC w/snap-in Cyrix 486 SRx2 upgrade CPU","DeathAdderSF"
UID1D431439D3,"LOBO",64,226,115,184,148,96,Intel 80286,27.2,"R(C)1985-1991,American Megatrends Inc.,All Rights Reserved.,1346 Oakbrook Dr.,#120,GA-30093,USA.(404)-263-8181. (07/07/91, rev. 0)",19910707,1D43,VGA,"VGA, Cirrus CL-GD5428, VESA, 256kb Video Memory (BIOS)","Overclocked 80286 system, details at http://www.vcfed.org/forum/showthread.php?54633-Lobo-The-ultimate-16-bit-PC","jojo@vieju.net"
UIDA378FCDA2,"M396B",65,227,113,209,133,87,Intel 80386SX,33,"R(C)1985-1991,American Megatrends Inc.,All Rights Reserved.,1346 Oakbrook Dr.,#120,GA-30093,USA.(404)-263-8181. (07/07/91, rev. 0)",19910707,A378,VGA,"VGAOAK OTI-087, 1024kb Video Memory","M396B motherboard rev 1.2","Omar Matias Bomrad"
UIDE1131689BE,"386dx-40 clone",67,199,103,412,67,59,AMD Am386DX,40,"(C)1985-1991,American Megatrends Inc.,All Rights Reserved.,1346 Oakbrook Dr.,#120,GA-30093,USA.(404)-263-8181. (07/07/91, rev. 0)",19910707,E113,VGA,"VGA, Trident TR8800CS, 256kb Video Memory","40MHz, VGA","commodorejohn (VCF)"
UID84B711C7,"Toshiba T2400CT @ 25",71,222,126,338,182,89,Intel i486DX2,25,"(c) COPYRIGHT 1990,95 Toshiba Corporation.ALL RIGHTS RESERVED.  Insert system disk in drive. (07/28‘95, rev. 0)",19950728,84B7,VGA,"VGA, Paradise PVGA1A, 16-Bit-Video, 8-Bit-ROMfixed-sync, VESA, 7"," ","Omar Matias Bomrad"
UIDD910CDD24,"Northstar Slimline 333",71,193,76,324,73,93,Intel 80386DX,33,"R(C)1985-1990, American Megatrends Inc.,All Rights Reserved.1346 Oakbrook Drive, Suite-120, Norcross, GA-30093. Phone-(404)-263-8181. (04/09/90, rev. 0)",19900409,D910,VGA,"VGA, ATI 28800-2VGAWonderBios : 1.1, 256kb Video Memory (BIOS)","Northgate 386 Desktop","fatwizard (VCF) fatwizard@whappitysnap.com"
UID55F61510C0,"486sx-25 clone",76,197,59,332,56,59,Intel 80486sx,25,"(C)1985-1991,American Megatrends Inc.,All Rights Reserved.,1346 Oakbrook Dr.,#120,GA-30093,USA.(404)-263-8181. (12/12/91, rev. 0)",19911212,55F6,VGA," "," ","per (VCF)"
UIDEC3DA3D02,"386sx-40 clone",76,182,82,238,88,71,AMD Am386SX,40,"MR BIOS (r) Copyright (c) 1992, Microid Research Inc. (11/24/92, rev.0)",19921124,EC3D,VGA,"VGA, Trident TR8900C, VESA, 1024Kb Video Memory (BIOS)","386SX-40, cacheless, 16Mb SIMM, generic noname mobo","RacoonRider avermakov[at]list.ru"
UID50F6751C1,"386dx-40 clone",77,183,86,317,95,77,AMD Am386DX,40,"(C)1985-1991,American Megatrends Inc.,All Rights Reserved.,1346 Oakbrook Dr.,#120,GA-30093,USA.(404)-263-8181. (12/12/91, rev. 0)",19911212,50F6,VGA,"VGA, Trident TR9000i, VESA, 768kb Video Memory, 512kb Video Memo"," ","ChuckG (VCF)"
UID3500D9AF4,"386dx-33 clone",78,204,130,239,154,128,Intel 80386DX,33,"(C)1985-1991,American Megatrends Inc.,All Rights Reserved.,1346 Oakbrook Dr.,#120,GA-30093,USA.(404)-263-8181. (12/12/91, rev. 0)",19911212,3500,VGA,"VGA, Trident TR8900CL or D, VESA, 1024kb Video Memory, 32-bit access","FX-3000 motherboard, 128k cache","trixter@oldskool.org"
UIDB4DA16E46D,"386dx-40 clone",86,198,107,231,66,58,AMD Am386DX,40,"(C)1985-1991,American Megatrends Inc.,All Rights Reserved.,1346 Oakbrook Dr.,#120,GA-30093,USA.(404)-263-8181. (07/07/91, rev. 0)",19910707,B4DA,VGA,"VGA, Trident TR9000, VESA, 768kb Video Memory","40MHz, TVGA9000B","commodorejohn (VCF)"
UID9E5DE1FEA,"M326 @ 33",90,196,104,178,85,91,Intel 80386DX,33,"R(C)1985-1993,American Megatrends Inc.,All Rights Reserved,6145F Northbelt Parkway,GA-30071,USA.(404)-263-8181. (08/08/93, rev. 0)",19930808,9E5D,VGA,"VGA, Tseng ET 4000W32i, DRAM, VESA, 256kb Video Memory (BIOS)","M326 motherboard rev 5.2 clocked @ 33","Omar Matias Bomrad"
UID46F5D1305,"TEX's Socket 7 DOS machine [iCaches off, eCache on]",90,195,56,204,53,38,AMD K6-III+ (0.18u),100,"war,Copyright (C) 1984-98, Award Software, Inc. (05/14/98, rev. 0)",19980514,46F5,VGA,"VGA, S3 86c868/86c968 PCI, VESA, 256kb Video Memory (BIOS)","www.vogons.org/viewtopic.php?f=25&t=41586","carlostex [vogons.org]"
UID82B212179C,"Tulip Vision Line DC",91,198,77,219,97,69, ,,"Copyright (C) 1985-1990 Phoenix Technologies Ltd. (03/04/93, rev. 0)",19930304,82B2,VGA," ","Tulip Vision Line DC 486SX, 25MHz CPU. Picture: http://www.tulipgv.nl/tvldc.htm That page doesn't mention 25MHz version, but this does: http://stason.org/TULARC/pc/motherboards/T/TULIP-COMPUTERS-486-TULIP-VISION-LINE-DT-486SX-25.html","Frenkel Smeijers"
UID33CC797B5,"FOREX 386",91,165,77,235,59,71,AMD Am386DX,40,"R(C)1985-1992,American Megatrends Inc.,All Rights Reserved,6145F Northbelt Parkway,GA-30071,USA.(404)-263-8181. (06/06/92, rev. 0)",19920606,33CC,VGA,"VGA, Tseng ET 4000, DRAM, 1024kb Video Memory"," "," "
UIDF8DE26E1,"386dx-40 clone",92,162,68,222,81,64,AMD Am386DX,40,"(C)1985-1991,American Megatrends Inc.,All Rights Reserved.,1346 Oakbrook Dr.,#120,GA-30093,USA.(404)-263-8181. (07/07/91, rev. 0)",19910707,F8DE,VGA,"VGA, Tseng ET 4000 with HiColor RAMDAC, DRAM, VESA, 1024kb Video","home built, 386DX40/i387/32MB/GUSPnP/SB16+WB1/ELNK3","Michael Huth"
UID50322B7AF,"386dx-40 clone",94,250,160,210,192,150,AMD Am386DX,40,"(C)1985-1992,American Megatrends Inc.,All Rights Reserved,6145F Northbelt Parkway,GA-30071,USA.(404)-263-8181. (06/06/92, rev. 0)",19920606,5032,VGA,"VGA, Tseng ET 4000 with HiColor RAMDAC, DRAM, 1024kb Video Memor"," ","Michael Kargas"
UID1BE22760F,"386dx-40 clone",96,186,122,194,139,113,AMD Am386DX,40,"(C)1985-1991,American Megatrends Inc.,All Rights Reserved.,1346 Oakbrook Dr.,#120,GA-30093,USA.(404)-263-8181. (12/12/91, rev. 0)",19911212,1BE2,VGA,"VGA, Tseng ET 4000 with HiColor RAMDAC, DRAM, 1024kb Video Memory"," ","luckybob (VCF)"
UIDD87C7F9F,"IBM PS/ValuePoint 325T/S (6382-C41)",96,160,122,212,149,108,IBM 386SLC (8KB L1),25,"COPR. IBM 1981, 1992 (12/02/92, rev. 2)",19921202,D87C,VGA,"VGA, Cirrus CL-GD5422, VESA, 1MB Memory","8MB EDO RAM, Used by Comed Group PLC. (01053). MFG 23-07-93.","High Treason (HighTreason610)"
UID38CBB04,"Compaq ProLinea 4/25s",98,206,86,167,113,72,Intel i486SX,25,"\CL GE S CAB2/NPBCWKDJWDJCDSJCGCMRGTRZNQL(C)Copyright COMPAQ Computer Corporation 1982,93* (10/11/93, rev. 0)",19931011,38CB,VGA,"VGA, Compaq QVision 1024, 1024kb Video Memory"," ","Omar Matias Bomrad"
UIDCB81C3423,"486dx-50 clone",103,103,38,297,50,32,486DX,50,"(C)1985-1992, American Megatrends Inc.",19920606,CB81,VGA,"Cirrus Logic CL-GD540x 1 MB (VESA)","20 MB RAM, ISA buses, cool boot, turbo on, processor cooler, -s parameter.","486 player"
UID9E5DE2F96,"M326 @ 40",104,162,87,164,70,76,AMD Am386DX,40,"R(C)1985-1993,American Megatrends Inc.,All Rights Reserved,6145F Northbelt Parkway,GA-30071,USA.(404)-263-8181. (08/08/93, rev. 0)",19930808,9E5D,VGA,"VGA, Tseng ET 4000W32i, DRAM, VESA, 256kb Video Memory (BIOS)","M326 motherboard rev 5.2 clocked @ 40","Omar Matias Bomrad"
UID62512960,"386dx-40 clone",106,161,59,160,50,56,AMD Am386DX,40,"(C)1985-1993,American Megatrends Inc.,All Rights Reserved,6145F Northbelt Parkway,GA-30071,USA.(404)-263-8181. (08/08/93, rev. 0)",19930808,6251,VGA,"Cirrus CL-GD5428, VESA, 256kb Video Memory (BIOS)","386DX40/ULSI83C87/16MB/Ali1429/V7VEGA1MB","Michael Huth"
UID30BD148EB,"Toshiba Libretto 50CT",107,68,22,411,15,17,Intel Pentium,75,"(c) COPYRIGHT 1990,99 Toshiba Corporation.ALL RIGHTS RESERVED.  Insert system disk in drive. (02/10/99, rev. 0)",19990210,30BD,VGA,"VGA, VESA, 256kb Video Memory (BIOS)"," ","Omar Matias Bomrad"
UID44C3111AFF,"AT clone",109,90,84,328,165,62,Intel i486DX2,66,"R(C)1985-1992,American Megatrends Inc.,All Rights Reserved,6145F Northbelt Parkway,GA-30071,USA.(404)-263-8181. (11/11/92, rev. 0)",19921111,44C3,VGA,"VGA, Cirrus CL-GD5422, VESA, 1024 kb Video Memory (BIOS)","128 kB cache, 20 MB RAM, video card in VLB-slot, 50x CD-ROM, heatsink, Smartdrive","486 player"
UID1239160068,"Cyrix 486DLC Clone",109,186,65,175,59,57,Cyrix 486DLC-33GP,33,"American Megatrends Inc.,All Rights Reserved,6145F Northbelt Parkway,GA-30071,USA.(404)-263-8181. (06/06/92, rev. 0)",19920606,1239,VGA,"VGA, Tseng ET 4000W32i, DRAM, VESA, 1MB Video Memory","128KB L1 Cache, 1KB Internal, 8MB SIMM, Shuttle HOT-307H Mobo, IIT 4C87DLC-40 (33MHz) - CPU and FPU are upgrades for 386 boards/sockets.","High Treason (HighTreason610)"
UID12E8B498,"ESA FT-486",111,67,22,368,21,17,Intel i486DX4WB,100,"Copyright (C) 1984-99, Award Software, Inc. (10/29/99, rev. 0)",19991029,12E8,VGA,"VGA, Trident TR8900CL or D, VESA, 768kb Video Memory, 1024kb Vid"," ","dpatten (VCF)"
UID370380BF1,"Dell Latitude 433C",114,173,96,168,118,74,Intel i486SX,33,"Copyright (C) 1985-1992 Phoenix Technologies Ltd. (03/18/94, rev. 0)",19940318,3703,VGA,"VGA, 256kb Video Memory (BIOS)"," ","Dos lives on!! from VCF"
UID42B4E0AA5,"Toshiba T4700CT",121,128,65,207,74,45,Intel i486DX2,50,"(c) COPYRIGHT 1990,94 Toshiba Corporation.ALL RIGHTS RESERVED. (07/12/94, rev. 0)",19940712,42B4,VGA,"VGA, Paradise PVGA1A, 16-Bit-Video, 8-Bit-ROMfixed-sync, 768kb VRAM"," ","trixter@oldskool.org"
UID75B2149E0B,"Toshiba Libretto 70CT",126,38,12,383,12,9,Intel Pentium with MMX,166,"(c) COPYRIGHT 1990,99 Toshiba Corporation.ALL RIGHTS RESERVED. (02/10/99, rev. 0)",19990210,75B2,VGA,"VGA, VESA, 256kb Video Memory (BIOS)","Libretto 70CT subnotebook with CPU overclocked to 166MHz","Raccoonrider avermakov@list.ru"
